caseId,caseName,majVotes,minVotes,justice,justiceName,vote
2010-006,"MAYO FOUNDATION FOR MEDICAL EDUCATION AND RESEARCH, et al., PETITIONERS v. UNITED STATES",8,0,109,RBGinsburg,1
2010-006,"MAYO FOUNDATION FOR MEDICAL EDUCATION AND RESEARCH, et al., PETITIONERS v. UNITED STATES",8,0,110,SGBreyer,1
2010-006,"MAYO FOUNDATION FOR MEDICAL EDUCATION AND RESEARCH, et al., PETITIONERS v. UNITED STATES",8,0,112,SAAlito,1
2010-006,"MAYO FOUNDATION FOR MEDICAL EDUCATION AND RESEARCH, et al., PETITIONERS v. UNITED STATES",8,0,113,SSotomayor,1
2010-006,"MAYO FOUNDATION FOR MEDICAL EDUCATION AND RESEARCH, et al., PETITIONERS v. UNITED STATES",8,0,114,EKagan,
2010-007,"JASON M. RANSOM, PETITIONER v. FIA CARD SERVICES, N.A., FKA MBNA AMERICA BANK, N.A.",8,1,111,JGRoberts,1
2010-007,"JASON M. RANSOM, PETITIONER v. FIA CARD SERVICES, N.A., FKA MBNA AMERICA BANK, N.A.",8,1,105,AScalia,2
2010-007,"JASON M. RANSOM, PETITIONER v. FIA CARD SERVICES, N.A., FKA MBNA AMERICA BANK, N.A.",8,1,106,AMKennedy,1
2010-007,"JASON M. RANSOM, PETITIONER v. FIA CARD SERVICES, N.A., FKA MBNA AMERICA BANK, N.A.",8,1,108,CThomas,1
2010-007,"JASON M. RANSOM, PETITIONER v. FIA CARD SERVICES, N.A., FKA MBNA AMERICA BANK, N.A.",8,1,109,RBGinsburg,1
2010-007,"JASON M. RANSOM, PETITIONER v. FIA CARD SERVICES, N.A., FKA MBNA AMERICA BANK, N.A.",8,1,110,SGBreyer,1
2010-007,"JASON M. RANSOM, PETITIONER v. FIA CARD SERVICES, N.A., FKA MBNA AMERICA BANK, N.A.",8,1,112,SAAlito,1
2010-007,"JASON M. RANSOM, PETITIONER v. FIA CARD SERVICES, N.A., FKA MBNA AMERICA BANK, N.A.",8,1,113,SSotomayor,1
2010-007,"JASON M. RANSOM, PETITIONER v. FIA CARD SERVICES, N.A., FKA MBNA AMERICA BANK, N.A.",8,1,114,EKagan,1
2010-008,"KELLY HARRINGTON, WARDEN, PETITIONER, v. JOSHUA RICHTER",8,0,111,JGRoberts,1
2010-008,"KELLY HARRINGTON, WARDEN, PETITIONER, v. JOSHUA RICHTER",8,0,105,AScalia,1
2010-008,"KELLY HARRINGTON, WARDEN, PETITIONER, v. JOSHUA RICHTER",8,0,106,AMKennedy,1
2010-008,"KELLY HARRINGTON, WARDEN, PETITIONER, v. JOSHUA RICHTER",8,0,108,CThomas,1
2010-008,"KELLY HARRINGTON, WARDEN, PETITIONER, v. JOSHUA RICHTER",8,0,109,RBGinsburg,1
2010-008,"KELLY HARRINGTON, WARDEN, PETITIONER, v. JOSHUA RICHTER",8,0,110,SGBreyer,1
2010-008,"KELLY HARRINGTON, WARDEN, PETITIONER, v. JOSHUA RICHTER",8,0,112,SAAlito,1
2010-008,"KELLY HARRINGTON, WARDEN, PETITIONER, v. JOSHUA RICHTER",8,0,113,SSotomayor,1
2010-008,"KELLY HARRINGTON, WARDEN, PETITIONER, v. JOSHUA RICHTER",8,0,114,EKagan,
2010-009,"JEFF PREMO, SUPERINTENDENT, OREGON STATE PENITENTIARY, PETITIONER v. RANDY JOSEPH MOORE",8,0,111,JGRoberts,1
2010-009,"JEFF PREMO, SUPERINTENDENT, OREGON STATE PENITENTIARY, PETITIONER v. RANDY JOSEPH MOORE",8,0,105,AScalia,1
2010-009,"JEFF PREMO, SUPERINTENDENT, OREGON STATE PENITENTIARY, PETITIONER v. RANDY JOSEPH MOORE",8,0,106,AMKennedy,1
2010-009,"JEFF PREMO, SUPERINTENDENT, OREGON STATE PENITENTIARY, PETITIONER v. RANDY JOSEPH MOORE",8,0,108,CThomas,1
2010-009,"JEFF PREMO, SUPERINTENDENT, OREGON STATE PENITENTIARY, PETITIONER v. RANDY JOSEPH MOORE",8,0,109,RBGinsburg,4
2010-009,"JEFF PREMO, SUPERINTENDENT, OREGON STATE PENITENTIARY, PETITIONER v. RANDY JOSEPH MOORE",8,0,110,SGBreyer,1
2010-009,"JEFF PREMO, SUPERINTENDENT, OREGON STATE PENITENTIARY, PETITIONER v. RANDY JOSEPH MOORE",8,0,112,SAAlito,1
2010-009,"JEFF PREMO, SUPERINTENDENT, OREGON STATE PENITENTIARY, PETITIONER v. RANDY JOSEPH MOORE",8,0,113,SSotomayor,1
2010-009,"JEFF PREMO, SUPERINTENDENT, OREGON STATE PENITENTIARY, PETITIONER v. RANDY JOSEPH MOORE",8,0,114,EKagan,
2010-010,"NATIONAL AERONAUTICS AND SPACE ADMINISTRATION, et al., PETITIONERS v. ROBERT M. NELSON et al.",8,0,111,JGRoberts,1
2010-010,"NATIONAL AERONAUTICS AND SPACE ADMINISTRATION, et al., PETITIONERS v. ROBERT M. NELSON et al.",8,0,105,AScalia,4
2010-010,"NATIONAL AERONAUTICS AND SPACE ADMINISTRATION, et al., PETITIONERS v. ROBERT M. NELSON et al.",8,0,106,AMKennedy,1
2010-010,"NATIONAL AERONAUTICS AND SPACE ADMINISTRATION, et al., PETITIONERS v. ROBERT M. NELSON et al.",8,0,108,CThomas,4
2010-010,"NATIONAL AERONAUTICS AND SPACE ADMINISTRATION, et al., PETITIONERS v. ROBERT M. NELSON et al.",8,0,109,RBGinsburg,1
2010-010,"NATIONAL AERONAUTICS AND SPACE ADMINISTRATION, et al., PETITIONERS v. ROBERT M. NELSON et al.",8,0,110,SGBreyer,1
2010-010,"NATIONAL AERONAUTICS AND SPACE ADMINISTRATION, et al., PETITIONERS v. ROBERT M. NELSON et al.",8,0,112,SAAlito,1
2010-010,"NATIONAL AERONAUTICS AND SPACE ADMINISTRATION, et al., PETITIONERS v. ROBERT M. NELSON et al.",8,0,113,SSotomayor,1
2010-010,"NATIONAL AERONAUTICS AND SPACE ADMINISTRATION, et al., PETITIONERS v. ROBERT M. NELSON et al.",8,0,114,EKagan,
2010-011,"GARY SWARTHOUT, WARDEN, PETITIONER v. DAMON COOKE.",9,0,111,JGRoberts,1
2010-011,"GARY SWARTHOUT, WARDEN, PETITIONER v. DAMON COOKE.",9,0,105,AScalia,1
2010-011,"GARY SWARTHOUT, WARDEN, PETITIONER v. DAMON COOKE.",9,0,106,AMKennedy,1
2010-011,"GARY SWARTHOUT, WARDEN, PETITIONER v. DAMON COOKE.",9,0,108,CThomas,1
2010-011,"GARY SWARTHOUT, WARDEN, PETITIONER v. DAMON COOKE.",9,0,109,RBGinsburg,1
2010-011,"GARY SWARTHOUT, WARDEN, PETITIONER v. DAMON COOKE.",9,0,110,SGBreyer,1
2010-011,"GARY SWARTHOUT, WARDEN, PETITIONER v. DAMON COOKE.",9,0,112,SAAlito,1
2010-011,"GARY SWARTHOUT, WARDEN, PETITIONER v. DAMON COOKE.",9,0,113,SSotomayor,1
2010-011,"GARY SWARTHOUT, WARDEN, PETITIONER v. DAMON COOKE.",9,0,114,EKagan,1
2010-012,"CHASE BANK USA, NA., PETITIONER v. JAMES A. MCCOY, INDIVIDUALLY AND ON BEHALF OF ALL OTHERS SIMILARLY SITUATED",9,0,111,JGRoberts,1
2010-012,"CHASE BANK USA, NA., PETITIONER v. JAMES A. MCCOY, INDIVIDUALLY AND ON BEHALF OF ALL OTHERS SIMILARLY SITUATED",9,0,105,AScalia,1
2010-012,"CHASE BANK USA, NA., PETITIONER v. JAMES A. MCCOY, INDIVIDUALLY AND ON BEHALF OF ALL OTHERS SIMILARLY SITUATED",9,0,106,AMKennedy,1
2010-012,"CHASE BANK USA, NA., PETITIONER v. JAMES A. MCCOY, INDIVIDUALLY AND ON BEHALF OF ALL OTHERS SIMILARLY SITUATED",9,0,108,CThomas,1
2010-012,"CHASE BANK USA, NA., PETITIONER v. JAMES A. MCCOY, INDIVIDUALLY AND ON BEHALF OF ALL OTHERS SIMILARLY SITUATED",9,0,109,RBGinsburg,1
2010-012,"CHASE BANK USA, NA., PETITIONER v. JAMES A. MCCOY, INDIVIDUALLY AND ON BEHALF OF ALL OTHERS SIMILARLY SITUATED",9,0,110,SGBreyer,1
2010-012,"CHASE BANK USA, NA., PETITIONER v. JAMES A. MCCOY, INDIVIDUALLY AND ON BEHALF OF ALL OTHERS SIMILARLY SITUATED",9,0,112,SAAlito,1
2010-012,"CHASE BANK USA, NA., PETITIONER v. JAMES A. MCCOY, INDIVIDUALLY AND ON BEHALF OF ALL OTHERS SIMILARLY SITUATED",9,0,113,SSotomayor,1
2010-012,"CHASE BANK USA, NA., PETITIONER v. JAMES A. MCCOY, INDIVIDUALLY AND ON BEHALF OF ALL OTHERS SIMILARLY SITUATED",9,0,114,EKagan,1
2010-013,"MICHELLE ORITZ, PETITIONER v. PAULA JORDAN et al.",9,0,111,JGRoberts,1
2010-013,"MICHELLE ORITZ, PETITIONER v. PAULA JORDAN et al.",9,0,105,AScalia,4
2010-013,"MICHELLE ORITZ, PETITIONER v. PAULA JORDAN et al.",9,0,106,AMKennedy,4
2010-013,"MICHELLE ORITZ, PETITIONER v. PAULA JORDAN et al.",9,0,108,CThomas,4
2010-013,"MICHELLE ORITZ, PETITIONER v. PAULA JORDAN et al.",9,0,109,RBGinsburg,1
2010-013,"MICHELLE ORITZ, PETITIONER v. PAULA JORDAN et al.",9,0,110,SGBreyer,1
2010-013,"MICHELLE ORITZ, PETITIONER v. PAULA JORDAN et al.",9,0,112,SAAlito,1
2010-013,"MICHELLE ORITZ, PETITIONER v. PAULA JORDAN et al.",9,0,113,SSotomayor,1
2010-013,"MICHELLE ORITZ, PETITIONER v. PAULA JORDAN et al.",9,0,114,EKagan,1
2010-014,"ERIC L. THOMPSON, PETITIONER v. NORTH AMERICAN STAINLESS, LP",8,0,111,JGRoberts,1
2010-014,"ERIC L. THOMPSON, PETITIONER v. NORTH AMERICAN STAINLESS, LP",8,0,105,AScalia,1
2010-014,"ERIC L. THOMPSON, PETITIONER v. NORTH AMERICAN STAINLESS, LP",8,0,106,AMKennedy,1
2010-014,"ERIC L. THOMPSON, PETITIONER v. NORTH AMERICAN STAINLESS, LP",8,0,108,CThomas,1
2010-014,"ERIC L. THOMPSON, PETITIONER v. NORTH AMERICAN STAINLESS, LP",8,0,109,RBGinsburg,3
2010-014,"ERIC L. THOMPSON, PETITIONER v. NORTH AMERICAN STAINLESS, LP",8,0,110,SGBreyer,3
2010-014,"ERIC L. THOMPSON, PETITIONER v. NORTH AMERICAN STAINLESS, LP",8,0,112,SAAlito,1
2010-014,"ERIC L. THOMPSON, PETITIONER v. NORTH AMERICAN STAINLESS, LP",8,0,113,SSotomayor,1
2010-014,"ERIC L. THOMPSON, PETITIONER v. NORTH AMERICAN STAINLESS, LP",8,0,114,EKagan,
2010-015,"RUSSEL BRUESEWITZ, et al. PETITIONERS v. WYETH LLC, FKA WYETH, INC., FKA WYETH LABORATORIES, et al.",6,2,111,JGRoberts,1
2010-015,"RUSSEL BRUESEWITZ, et al. PETITIONERS v. WYETH LLC, FKA WYETH, INC., FKA WYETH LABORATORIES, et al.",6,2,105,AScalia,1
2010-015,"RUSSEL BRUESEWITZ, et al. PETITIONERS v. WYETH LLC, FKA WYETH, INC., FKA WYETH LABORATORIES, et al.",6,2,106,AMKennedy,1
2010-015,"RUSSEL BRUESEWITZ, et al. PETITIONERS v. WYETH LLC, FKA WYETH, INC., FKA WYETH LABORATORIES, et al.",6,2,108,CThomas,1
2010-015,"RUSSEL BRUESEWITZ, et al. PETITIONERS v. WYETH LLC, FKA WYETH, INC., FKA WYETH LABORATORIES, et al.",6,2,109,RBGinsburg,2
2010-015,"RUSSEL BRUESEWITZ, et al. PETITIONERS v. WYETH LLC, FKA WYETH, INC., FKA WYETH LABORATORIES, et al.",6,2,110,SGBreyer,3
2010-015,"RUSSEL BRUESEWITZ, et al. PETITIONERS v. WYETH LLC, FKA WYETH, INC., FKA WYETH LABORATORIES, et al.",6,2,112,SAAlito,1
2010-015,"RUSSEL BRUESEWITZ, et al. PETITIONERS v. WYETH LLC, FKA WYETH, INC., FKA WYETH LABORATORIES, et al.",6,2,113,SSotomayor,2
2010-015,"RUSSEL BRUESEWITZ, et al. PETITIONERS v. WYETH LLC, FKA WYETH, INC., FKA WYETH LABORATORIES, et al.",6,2,114,EKagan,
2010-016,"CSX TRANSPORTATION, INC., PETITIONER v. ALABAMA DEPARTMENT OF REVENUE et al.",7,2,111,JGRoberts,1
2010-016,"CSX TRANSPORTATION, INC., PETITIONER v. ALABAMA DEPARTMENT OF REVENUE et al.",7,2,105,AScalia,1
2010-016,"CSX TRANSPORTATION, INC., PETITIONER v. ALABAMA DEPARTMENT OF REVENUE et al.",7,2,106,AMKennedy,1
2010-016,"CSX TRANSPORTATION, INC., PETITIONER v. ALABAMA DEPARTMENT OF REVENUE et al.",7,2,108,CThomas,2
2010-016,"CSX TRANSPORTATION, INC., PETITIONER v. ALABAMA DEPARTMENT OF REVENUE et al.",7,2,109,RBGinsburg,2
2010-016,"CSX TRANSPORTATION, INC., PETITIONER v. ALABAMA DEPARTMENT OF REVENUE et al.",7,2,110,SGBreyer,1
2010-016,"CSX TRANSPORTATION, INC., PETITIONER v. ALABAMA DEPARTMENT OF REVENUE et al.",7,2,112,SAAlito,1
2010-016,"CSX TRANSPORTATION, INC., PETITIONER v. ALABAMA DEPARTMENT OF REVENUE et al.",7,2,113,SSotomayor,1
2010-016,"CSX TRANSPORTATION, INC., PETITIONER v. ALABAMA DEPARTMENT OF REVENUE et al.",7,2,114,EKagan,1
