caseID,term,chief,caseName,majVotes,minVotes,justiceID,direction,majority
2010-006,2010,Roberts,"MAYO FOUNDATION FOR MEDICAL EDUCATION AND RESEARCH, et al., PETITIONERS v. UNITED STATES",8,0,106,2,2
2010-006,2010,Roberts,"MAYO FOUNDATION FOR MEDICAL EDUCATION AND RESEARCH, et al., PETITIONERS v. UNITED STATES",8,0,108,2,2
2010-006,2010,Roberts,"MAYO FOUNDATION FOR MEDICAL EDUCATION AND RESEARCH, et al., PETITIONERS v. UNITED STATES",8,0,109,2,2
2010-006,2010,Roberts,"MAYO FOUNDATION FOR MEDICAL EDUCATION AND RESEARCH, et al., PETITIONERS v. UNITED STATES",8,0,110,2,2
2010-006,2010,Roberts,"MAYO FOUNDATION FOR MEDICAL EDUCATION AND RESEARCH, et al., PETITIONERS v. UNITED STATES",8,0,112,2,2
2010-006,2010,Roberts,"MAYO FOUNDATION FOR MEDICAL EDUCATION AND RESEARCH, et al., PETITIONERS v. UNITED STATES",8,0,113,2,2
2010-006,2010,Roberts,"MAYO FOUNDATION FOR MEDICAL EDUCATION AND RESEARCH, et al., PETITIONERS v. UNITED STATES",8,0,114,,
2010-007,2010,Roberts,"JASON M. RANSOM, PETITIONER v. FIA CARD SERVICES, N.A., FKA MBNA AMERICA BANK, N.A.",8,1,111,1,2
2010-007,2010,Roberts,"JASON M. RANSOM, PETITIONER v. FIA CARD SERVICES, N.A., FKA MBNA AMERICA BANK, N.A.",8,1,105,2,1
2010-007,2010,Roberts,"JASON M. RANSOM, PETITIONER v. FIA CARD SERVICES, N.A., FKA MBNA AMERICA BANK, N.A.",8,1,106,1,2
2010-007,2010,Roberts,"JASON M. RANSOM, PETITIONER v. FIA CARD SERVICES, N.A., FKA MBNA AMERICA BANK, N.A.",8,1,108,1,2
2010-007,2010,Roberts,"JASON M. RANSOM, PETITIONER v. FIA CARD SERVICES, N.A., FKA MBNA AMERICA BANK, N.A.",8,1,109,1,2
2010-007,2010,Roberts,"JASON M. RANSOM, PETITIONER v. FIA CARD SERVICES, N.A., FKA MBNA AMERICA BANK, N.A.",8,1,110,1,2
2010-007,2010,Roberts,"JASON M. RANSOM, PETITIONER v. FIA CARD SERVICES, N.A., FKA MBNA AMERICA BANK, N.A.",8,1,112,1,2
2010-007,2010,Roberts,"JASON M. RANSOM, PETITIONER v. FIA CARD SERVICES, N.A., FKA MBNA AMERICA BANK, N.A.",8,1,113,1,2
2010-007,2010,Roberts,"JASON M. RANSOM, PETITIONER v. FIA CARD SERVICES, N.A., FKA MBNA AMERICA BANK, N.A.",8,1,114,1,2
2010-008,2010,Roberts,"KELLY HARRINGTON, WARDEN, PETITIONER, v. JOSHUA RICHTER",8,0,111,1,2
2010-008,2010,Roberts,"KELLY HARRINGTON, WARDEN, PETITIONER, v. JOSHUA RICHTER",8,0,105,1,2
2010-008,2010,Roberts,"KELLY HARRINGTON, WARDEN, PETITIONER, v. JOSHUA RICHTER",8,0,106,1,2
